season,team1,team2
2016,Gujarat Lions,Sunrisers Hyderabad
2016,Royal Challengers Bangalore,Rising Pune Supergiants
2016,Delhi Daredevils,Mumbai Indians
2016,Kings XI Punjab,Sunrisers Hyderabad
2016,Royal Challengers Bangalore,Gujarat Lions
2016,Rising Pune Supergiants,Kolkata Knight Riders
2016,Mumbai Indians,Kings XI Punjab
2016,Sunrisers Hyderabad,Rising Pune Supergiants
2016,Gujarat Lions,Delhi Daredevils
2016,Kolkata Knight Riders,Mumbai Indians
2016,Rising Pune Supergiants,Gujarat Lions
2016,Delhi Daredevils,Kolkata Knight Riders
2016,Sunrisers Hyderabad,Royal Challengers Bangalore
2016,Kings XI Punjab,Gujarat Lions
2016,Rising Pune Supergiants,Mumbai Indians
2016,Royal Challengers Bangalore,Kolkata Knight Riders
2016,Gujarat Lions,Delhi Daredevils
2016,Kolkata Knight Riders,Kings XI Punjab
2016,Delhi Daredevils,Rising Pune Supergiants
2016,Gujarat Lions,Sunrisers Hyderabad
2016,Rising Pune Supergiants,Royal Challengers Bangalore
2016,Kings XI Punjab,Delhi Daredevils
2016,Sunrisers Hyderabad,Mumbai Indians
2016,Kolkata Knight Riders,Gujarat Lions
2016,Royal Challengers Bangalore,Kings XI Punjab
2016,Sunrisers Hyderabad,Rising Pune Supergiants
2016,Royal Challengers Bangalore,Mumbai Indians
2016,Sunrisers Hyderabad,Delhi Daredevils
2016,Mumbai Indians,Kings XI Punjab
2016,Royal Challengers Bangalore,Gujarat Lions
2016,Rising Pune Supergiants,Kolkata Knight Riders
2016,Kings XI Punjab,Sunrisers Hyderabad
2016,Mumbai Indians,Delhi Daredevils
2016,Kolkata Knight Riders,Royal Challengers Bangalore
2016,Delhi Daredevils,Rising Pune Supergiants
2016,Royal Challengers Bangalore,Kings XI Punjab
2016,Kolkata Knight Riders,Gujarat Lions
2016,Sunrisers Hyderabad,Delhi Daredevils
2016,Kings XI Punjab,Rising Pune Supergiants
2016,Mumbai Indians,Gujarat Lions
2016,Kolkata Knight Riders,Sunrisers Hyderabad
2016,Delhi Daredevils,Royal Challengers Bangalore
2016,Gujarat Lions,Royal Challengers Bangalore
2016,Sunrisers Hyderabad,Kolkata Knight Riders
2016,Gujarat Lions,Sunrisers Hyderabad
2016,Sunrisers Hyderabad,Royal Challengers Bangalore
